"","Site","campaign","habitat","drying_regime","flow_state","mean_CO2_g_m2_d","mean_CH4_mg_m2_d","mean_soil_temp","mean_soil_VWC","mean_pool_riffle_depth_cm","sed_temp","sed_VWC","Air_temp","Temp_water_C","Mean_Velocity..m.s.","bedrock","boulders","cobbles","gravel","sand","silt","Sed_OM","DO_mg_L","pH","cond_us_cm","Freq_Flow","Freq_Dry","Freq_Ponded","latitude","longitude","m_to_source","freq_flow_2021","freq_dry_2021","freq_pool_2021","freqflow7","freqflow30","freqdry7","freqdry30","freqpool7","freqpool30","Tsince_manual","percent_C","percent_N","CN_ratio","Canopy_Cover_Benth","Stock_Benth_g.m2","Ave.wet.width_m","Embeddedness","Discharge_l_s","masl","length.IR.up","length.PR.up","percent.IR.up","percent.PR.up","Max..wetted.width..m.","Min..wetted.width..m.","Bankfull.at.max..wetted.width..m.","Bankfull.at.min..wetted.width..m.","MeanDur_Ponded","MeanDur_Dry","MeanDur_Flow","MaxDur_Ponded","MaxDur_Dry","MaxDur_Flow","sed_pH","sed_cond_uS_cm","NO3_N_mg_l","DN_ugL","DOC_ugL","SRP_ugL","NH4_N_ugL","In_stream_CO2_g_m2_d","aquatic_conditions"
"243","RA01","4","Riparian","perennial","flowing",4.98477125775257,-0.342364078801915,14.775,0.3295,NA,NA,NA,13.822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,45.894629,5.435159,1798.239,1,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.957763729291346,"Flowing"
"244","RA01","5","Flowing","perennial","flowing",0.0812725850132575,-0.0249862531079544,NA,NA,12.3333333333333,NA,NA,20.2973333333333,14.3,0.0518,0,5,89,5,1,0,2.17,9.09,7.57,324,1,0,0,45.894629,5.435159,1798.239,1,0,0,1,1,0,0,0,0,NA,0.3931866,0.135994522,2.89119439678607,78.5,14.32345339,1.3,0,0.001,538,0,2467.4,0,100,2.1,0.6,4.3,3.2,0,0,NA,0,0,NA,8.46,70.1,0.509,462,1000.5,2,17,0.0812725850132575,"Flowing"
"245","RA01","5","Riparian","perennial","flowing",9.44717339580766,-0.779976671689775,NA,0.248888888888889,NA,NA,NA,20.424,NA,NA,NA,NA,NA,NA,NA,NA,2.17,NA,NA,324,1,0,0,45.894629,5.435159,1798.239,1,0,0,1,1,0,0,0,0,NA,4.142105967,0.1864443,22.2163185841562,NA,14.32345339,1.3,0,NA,538,0,2467.4,0,100,2.1,0.6,4.3,3.2,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0812725850132575,"Flowing"
"246","RA01","6","Flowing","perennial","flowing",0.133028161399787,0.113749514646355,NA,NA,6.9,NA,NA,20.138,9.8,NA,0,5,89,5,1,0,NA,11.06,7.54,331,1,0,0,45.894629,5.435159,1798.239,1,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133028161399787,"Flowing"
"247","RA01","6","Riparian","perennial","flowing",1.67106241680461,-0.395625730686949,8.125,0.319916666666667,NA,NA,NA,20.138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,45.894629,5.435159,1798.239,1,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133028161399787,"Flowing"
"248","RA01","7","Flowing","perennial","flowing",0.0852781535123486,-0.128317596791345,NA,NA,15.5,NA,NA,20.138,NA,NA,0,5,89,5,1,0,NA,NA,NA,NA,1,0,0,45.894629,5.435159,1798.239,1,0,0,1,1,0,0,0,0,NA,NA,NA,NA,78.5,12.15724454,NA,40,NA,538,0,2467.4,0,100,NA,NA,4.3,3.2,0,0,NA,0,0,NA,NA,NA,0.655,680,1254,8,61,0.0852781535123486,"Flowing"
"249","RA01","7","Riparian","perennial","flowing",0.356479956805933,0.0569583801115265,6.05,0.360333333333334,NA,NA,NA,20.138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,45.894629,5.435159,1798.239,1,0,0,1,1,0,0,0,0,NA,11.71169705,0.36908801,31.7314481443057,NA,12.15724454,NA,40,NA,538,0,2467.4,0,100,NA,NA,4.3,3.2,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0852781535123486,"Flowing"
"250","RO01","1","Flowing","intermittent_long","flowing",0.16833493819028,0.0299269768441729,NA,NA,16.3666666666667,NA,NA,5.16666666666667,2.3,0.1108,15,15,65,5,0,0,4.18,12.29,7.82,335,0.477744807,0.504451039,0.017804154,46.051191,5.611608,1073.466,NA,NA,NA,1,NA,0,NA,0,NA,10,1.773782463,0.135876124,13.0544087569057,79,1.281154052,1.9,0,0.002,869,1214.5,226.8,84.26420593,15.73579407,2.7,1.3,6,3.4,1.2,8.722222222,6.611111111,2,17,42,7.57,125.3,0.375,370,2294.5,1,0,0.16833493819028,"Flowing"
"251","RO01","1","Riparian","intermittent_long","flowing",0.363971758909407,-0.293223755150548,1.59444444444444,0.322222222222222,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,4.18,NA,NA,335,0.477744807,0.504451039,0.017804154,46.051191,5.611608,1073.466,NA,NA,NA,1,NA,0,NA,0,NA,10,13.92229727,0.625987583,22.240532636891,NA,1.281154052,1.9,0,NA,869,1214.5,226.8,84.26420593,15.73579407,2.7,1.3,6,3.4,1.2,8.722222222,6.611111111,2,17,42,NA,NA,NA,NA,NA,NA,NA,0.16833493819028,"Flowing"
"252","RO01","2","Flowing","intermittent_long","flowing",0.41570292298344,-0.0460368780042253,NA,NA,16.9333333333333,NA,NA,9.75,7.8,NA,15,15,65,5,0,0,NA,10.4,8.37,314,0.477744807,0.504451039,0.017804154,46.051191,5.611608,1073.466,NA,NA,NA,0.625,0.193548387096774,0.375,0.774193548387097,0,0.032258064516129,4,NA,NA,NA,NA,NA,NA,NA,NA,869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41570292298344,"Flowing"
"253","RO01","2","Riparian","intermittent_long","flowing",0.0927929556476536,-0.333185608721414,5.64444444444444,0.301833333333334,NA,NA,NA,9.83333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477744807,0.504451039,0.017804154,46.051191,5.611608,1073.466,NA,NA,NA,0.625,0.193548387096774,0.375,0.774193548387097,0,0.032258064516129,4,NA,NA,NA,NA,NA,NA,NA,NA,869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41570292298344,"Flowing"
"254","RO01","3","Dry","intermittent_long","pool",0.0759129712666167,0.0248880691800452,NA,NA,NA,12.9222222222222,0.180111111111111,14.1326666666667,10.9,0.0518,30,10,60,0,0,0,3.91,9.91,7.71,360,0.477744807,0.504451039,0.017804154,46.051191,5.611608,1073.466,NA,NA,NA,0.75,0.419354838709677,0.25,0.548387096774194,0,0.032258064516129,1,NA,NA,NA,79,1.274427391,1.6,0,0.001,869,1214.5,226.8,84.26420593,15.73579407,2.8,0.8,6,3.4,1.2,8.722222222,6.611111111,2,17,42,8.41,133.9,NA,NA,NA,NA,NA,0.108036702812929,"Dry"
"255","RO01","3","Riparian","intermittent_long","pool",2.13363275838272,-0.360083866320744,12.6916666666667,0.319166666666667,NA,NA,NA,14.2125,NA,NA,NA,NA,NA,NA,NA,NA,3.91,NA,NA,360,0.477744807,0.504451039,0.017804154,46.051191,5.611608,1073.466,NA,NA,NA,0.75,0.419354838709677,0.25,0.548387096774194,0,0.032258064516129,1,10.07063937,0.426227661,23.627371687639,NA,1.274427391,1.6,0,NA,869,1214.5,226.8,84.26420593,15.73579407,2.8,0.8,6,3.4,1.2,8.722222222,6.611111111,2,17,42,NA,NA,NA,NA,NA,NA,NA,0.108036702812929,"Dry"
"256","RO01","3","Pool","intermittent_long","pool",0.140160434359242,0.0187487655210041,NA,NA,7.93333333333333,NA,NA,13.7176666666667,10.9,0.0518,30,10,60,0,0,0,3.91,9.91,7.71,360,0.477744807,0.504451039,0.017804154,46.051191,5.611608,1073.466,NA,NA,NA,0.75,0.419354838709677,0.25,0.548387096774194,0,0.032258064516129,1,NA,NA,NA,79,1.274427391,1.6,0,0.001,869,1214.5,226.8,84.26420593,15.73579407,2.8,0.8,6,3.4,1.2,8.722222222,6.611111111,2,17,42,NA,NA,0.327,393,3215,1,7,0.108036702812929,"Dry"
"257","RO01","4","Dry","intermittent_long","dry",0.196273869381111,-0.0288285092744194,NA,NA,NA,13.12193,NA,14.5885,NA,NA,30,10,60,0,0,0,NA,NA,NA,NA,0.477744807,0.504451039,0.017804154,46.051191,5.611608,1073.466,NA,NA,NA,0.75,0.709677419354839,0.25,0.290322580645161,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.196273869381111,"Dry"
"258","RO01","4","Riparian","intermittent_long","dry",3.0329306665501,-0.497165150654072,14.0333333333333,0.301866666666667,NA,NA,NA,15.0148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477744807,0.504451039,0.017804154,46.051191,5.611608,1073.466,NA,NA,NA,0.75,0.709677419354839,0.25,0.290322580645161,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.196273869381111,"Dry"
"259","RO01","5","Dry","intermittent_long","dry",0.28813619374911,-0.0498492392297565,NA,NA,NA,13.7833333333333,0.100333333333333,15.33,NA,0,30,10,60,0,0,0,2.52,NA,NA,NA,0.477744807,0.504451039,0.017804154,46.051191,5.611608,1073.466,NA,NA,NA,0,0.129032258064516,1,0.838709677419355,0,0.032258064516129,8,0.822211441,0.23502238,3.49843891888083,79,6.969641008,NA,1,NA,869,1214.5,226.8,84.26420593,15.73579407,NA,NA,6,3.4,1.2,8.722222222,6.611111111,2,17,42,8.15,78.5,NA,NA,NA,NA,NA,0.28813619374911,"Dry"
"260","RO01","5","Riparian","intermittent_long","dry",2.80624321318804,-0.816730773869509,13.8,0.23475,NA,NA,NA,15.37775,NA,NA,NA,NA,NA,NA,NA,NA,2.52,NA,NA,NA,0.477744807,0.504451039,0.017804154,46.051191,5.611608,1073.466,NA,NA,NA,0,0.129032258064516,1,0.838709677419355,0,0.032258064516129,8,11.85026241,0.731007545,16.2108619685998,NA,6.969641008,NA,1,NA,869,1214.5,226.8,84.26420593,15.73579407,NA,NA,6,3.4,1.2,8.722222222,6.611111111,2,17,42,NA,NA,NA,NA,NA,NA,NA,0.28813619374911,"Dry"
