"","Site","campaign","habitat","drying_regime","flow_state","mean_mg_N2ON_m2_d","mean_soil_temp","mean_soil_VWC","mean_pool_riffle_depth_cm","sed_temp","sed_VWC","Air_temp","Temp_water_C","Mean_Velocity..m.s.","bedrock","boulders","cobbles","gravel","sand","silt","Sed_OM","DO_mg_L","pH","cond_us_cm","Freq_Flow","Freq_Dry","Freq_Ponded","latitude","longitude","m_to_source","freq_flow_2021","freq_dry_2021","freq_pool_2021","freqflow7","freqflow30","freqdry7","freqdry30","freqpool7","freqpool30","Tsince_manual","percent_C","percent_N","CN_ratio","Canopy_Cover_Benth","Stock_Benth_g.m2","Ave.wet.width_m","Embeddedness","Discharge_l_s","masl","length.IR.up","length.PR.up","percent.IR.up","percent.PR.up","Max..wetted.width..m.","Min..wetted.width..m.","Bankfull.at.max..wetted.width..m.","Bankfull.at.min..wetted.width..m.","MeanDur_Ponded","MeanDur_Dry","MeanDur_Flow","MaxDur_Ponded","MaxDur_Dry","MaxDur_Flow","sed_pH","sed_cond_uS_cm","NO3_N_mg_l","DN_ugL","DOC_ugL","SRP_ugL","NH4_N_ugL","In_stream_N2O_mg_m2_d","aquatic_conditions.x","aquatic_conditions.y"
"70","BU01","7","Riparian","intermittent_moderate","flowing",0.0057012789973762,2.2,0.35625,NA,NA,NA,4.415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.602389078,0.351535836,0.046075085,45.899826,5.39636,1327.798,0.723287671232877,0.224657534246575,0.0520547945205479,0,0.032258064516129,0,0,0.125,0,6,3.180880485,0.223223105,14.2497815582307,NA,3.492721903,NA,0,NA,554,2763.8,515.4,84.28275189,15.71724811,NA,NA,8,5.3,1.555555556,13.66666667,22,4,95,196,NA,NA,NA,NA,NA,NA,NA,3.49658042595815e-05,"Flowing","Flowing"
"71","BU02","1","Flowing","perennial","flowing",0.537360815752173,NA,NA,28.8333333333333,NA,NA,13.75,10,0.1948,5,25,35,30,5,0,1.92,11.21,8,402,1,0,0,45.914635,5.373575,4686.043,1,0,0,1,1,0,0,0,0,NA,0.620170048,0.132208459,4.69084998562762,95.5,0.812552122,2.1,10,0.089,340,2763.8,9112.5,23.27155764,76.72844236,2.5,1.7,3.7,3.2,0,0,NA,0,0,NA,7.19,1787,0.918,837,731.5,2,0,0.537360815752173,"Flowing","Flowing"
"72","BU02","1","Riparian","perennial","flowing",0.0886230628886024,6.53888888888889,0.254,NA,NA,NA,14.5,NA,NA,NA,NA,NA,NA,NA,NA,1.92,NA,NA,402,1,0,0,45.914635,5.373575,4686.043,1,0,0,1,1,0,0,0,0,NA,6.503203598,0.298287302,21.8018117244562,NA,0.812552122,2.1,10,NA,340,2763.8,9112.5,23.27155764,76.72844236,2.5,1.7,3.7,3.2,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.537360815752173,"Flowing","Flowing"
"73","BU02","3","Flowing","perennial","flowing",0.753994341560055,NA,NA,NA,NA,NA,19.187,12,0.3311,0,45,45,10,0,0,16.61,10.36,8.15,420,1,0,0,45.914635,5.373575,4686.043,1,0,0,1,1,0,0,0,0,NA,1.026001629,0.159161437,6.44629533597388,95.5,0.93428718,2.7,0,NA,340,2763.8,9112.5,23.27155764,76.72844236,32,2.1,3.7,3.2,0,0,NA,0,0,NA,8.51,128.2,1.009,946.5,753,7,4,0.753994341560055,"Flowing","Flowing"
"74","BU02","3","Riparian","perennial","flowing",0.224632547508923,15.5533333333333,0.313466666666667,NA,NA,NA,19.0538,NA,NA,NA,NA,NA,NA,NA,NA,16.61,NA,NA,420,1,0,0,45.914635,5.373575,4686.043,1,0,0,1,1,0,0,0,0,NA,5.699216439,0.275949125,20.6531419115752,NA,0.93428718,2.7,0,NA,340,2763.8,9112.5,23.27155764,76.72844236,32,2.1,3.7,3.2,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.753994341560055,"Flowing","Flowing"
"75","BU02","7","Flowing","perennial","flowing",0.920469420962246,NA,NA,32.75,NA,NA,3.97125,NA,NA,0,40,54,5,1,0,NA,NA,NA,NA,1,0,0,45.914635,5.373575,4686.043,1,0,0,1,1,0,0,0,0,NA,NA,NA,NA,95.5,6.327597655,NA,10,NA,340,2763.8,9112.5,23.27155764,76.72844236,NA,NA,3.7,3.2,0,0,NA,0,0,NA,NA,NA,0.934,906.5,1674,2,3,0.920469420962246,"Flowing","Flowing"
"76","BU02","7","Riparian","perennial","flowing",0.0399743260185925,3.21666666666667,NA,NA,NA,NA,3.945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,45.914635,5.373575,4686.043,1,0,0,1,1,0,0,0,0,NA,5.713387786,0.309882596,18.437265789525,NA,6.327597655,NA,10,NA,340,2763.8,9112.5,23.27155764,76.72844236,NA,NA,3.7,3.2,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.920469420962246,"Flowing","Flowing"
"77","CA01","1","Flowing","perennial","flowing",0.548340041687729,NA,NA,26.4,NA,NA,8.5,8.7,0.303,0,5,80,15,0,0,3.03,11.13,8.04,432,1,0,0,45.880623,5.494407,2093.278,1,0,0,1,1,0,0,0,0,NA,1.286937579,0.150820603,8.53290302121388,67.5,0.340765228,3.3,40,0.002,538,1686.4,727.8,69.85336758,30.14663242,3.7,2.7,6,4,0,0,NA,0,0,NA,7.87,611,0.811,770,1394,8,0,0.548340041687729,"Flowing","Flowing"
"78","CA01","1","Riparian","perennial","flowing",0.0871392850321759,6.57333333333334,0.342866666666667,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,3.03,NA,NA,432,1,0,0,45.880623,5.494407,2093.278,1,0,0,1,1,0,0,0,0,NA,9.137535246,0.491591311,18.5876663023444,NA,0.340765228,3.3,40,NA,538,1686.4,727.8,69.85336758,30.14663242,3.7,2.7,6,4,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.548340041687729,"Flowing","Flowing"
"79","CA01","3","Flowing","perennial","flowing",0.742494090031567,NA,NA,24.775,NA,NA,14.373,11.1,0.4748,0,10,60,29,1,0,3.28,10.42,7.58,454,1,0,0,45.880623,5.494407,2093.278,1,0,0,1,1,0,0,0,0,NA,0.654665881,0.124814197,5.24512352549125,67.5,0.419382345,2.75,0,0.134,538,1686.4,727.8,69.85336758,30.14663242,3.6,1.8,6,4,0,0,NA,0,0,NA,7.73,325,1.172,1010.5,2678.5,4,59,0.742494090031567,"Flowing","Flowing"
